date_range_start,county,type,month_count
2019-01,17143,supermarket,6254
2019-01,17145,supermarket,757
2019-01,17147,supermarket,904
2019-01,17149,supermarket,335
2019-01,17151,supermarket,75
2019-01,17153,supermarket,139
2019-01,17155,supermarket,364
2019-01,17157,supermarket,647
2019-01,17159,supermarket,577
2019-01,17161,supermarket,4739
2019-01,17163,supermarket,9979
2019-01,17165,supermarket,579
2019-01,17167,supermarket,8313
2019-01,17169,supermarket,199
2019-01,17171,supermarket,168
2019-01,17173,supermarket,505
2019-01,17175,supermarket,128
2019-01,17177,supermarket,1845
2019-01,17179,supermarket,5257
2019-01,17181,supermarket,494
2019-01,17183,supermarket,4220
2019-01,17185,supermarket,198
2019-01,17187,supermarket,793
2019-01,17189,supermarket,451
2019-01,17191,supermarket,366
2019-01,17193,supermarket,309
2019-01,17195,supermarket,2098
2019-01,17197,supermarket,41152
2019-01,17199,supermarket,2937
2019-01,17201,supermarket,12416
2019-01,17203,supermarket,2114
2019-01,18001,supermarket,465
2019-01,18003,supermarket,16099
2019-01,18005,supermarket,1988
2019-01,18007,supermarket,304
2019-01,18009,supermarket,404
2019-01,18011,supermarket,3006
2019-01,18013,supermarket,475
2019-01,18015,supermarket,1125
2019-01,18017,supermarket,811
2019-01,18019,supermarket,3841
2019-01,18021,supermarket,1358
2019-01,18023,supermarket,1239
2019-01,18025,supermarket,305
2019-01,18027,supermarket,1157
2019-01,18029,supermarket,2042
2019-01,18031,supermarket,980
2019-01,18033,supermarket,1350
2019-01,18035,supermarket,3469
2019-01,18037,supermarket,1409
2019-01,18039,supermarket,6970
2019-01,18041,supermarket,511
2019-01,18043,supermarket,2999
2019-01,18045,supermarket,903
2019-01,18047,supermarket,971
2019-01,18049,supermarket,325
2019-01,18051,supermarket,1120
2019-01,18053,supermarket,1910
2019-01,18055,supermarket,919
2019-01,18057,supermarket,20553
2019-01,18059,supermarket,4645
2019-01,18061,supermarket,1442
2019-01,18063,supermarket,7980
2019-01,18065,supermarket,1821
2019-01,18067,supermarket,5186
2019-01,18069,supermarket,974
2019-01,18071,supermarket,1707
2019-01,18073,supermarket,1154
2019-01,18075,supermarket,340
2019-01,18077,supermarket,896
2019-01,18079,supermarket,757
2019-01,18081,supermarket,7636
2019-01,18083,supermarket,1598
2019-01,18085,supermarket,2754
2019-01,18087,supermarket,951
2019-01,18089,supermarket,23804
2019-01,18091,supermarket,3176
2019-01,18093,supermarket,1701
2019-01,18095,supermarket,5584
2019-01,18097,supermarket,36961
2019-01,18099,supermarket,1128
2019-01,18101,supermarket,362
2019-01,18103,supermarket,1277
2019-01,18105,supermarket,5968
2019-01,18107,supermarket,1476
